school_name,address,phone,email,source_url
HCIS Songdo,"E2 - 3F, e 2 3f, 232 Central-ro, Yeonsu-gu, Incheon, South Korea",,,https://www.theworknplay.com/Work/HCISSongdo
Creverse CDI April Suwon Yeongtong,"1587 Bongyeong-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, Republic of Korea",,,https://www.theworknplay.com/Work/CreverseCDIAprilSuwonYeongtong
SLP Tongyeong,"2F, 26 Mujeon 3-gil, Tongyeong-si, Gyeongsangnam-do, South Korea",,,https://www.theworknplay.com/Work/SLPTongyeong
YBM ECC Jamsil,"4th floor, 235 Ogeum-ro, Songpa-gu, Seoul, Republic of Korea",,,https://www.theworknplay.com/Work/YBMECCJamsil
Creverse CDI Songpa Munjeong,"157 Songi-ro, Songpa-gu, Seoul, Republic of Korea",,,https://www.theworknplay.com/Work/CreverseCDISongpaMunjeong
RISE Seongbuk,"95 Samseon-dong 3(sam)-ga, Seongbuk-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/RISESeongbuk
Creverse CDI Bundang,"2F - 4F, 26 Sunae-ro 46beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/CreverseCDIBundang
SLP Busan Dongnae,"2F, 119 Yeogo-ro, Dongnae-gu, Busan, South Korea",,,https://www.theworknplay.com/Work/SLPBusanDongnae
Worwick Franklin Daejeon,"34-29 Hagi-ro, Yuseong District, Daejeon, South Korea",,,https://www.theworknplay.com/Work/WorwickFranklinDaejeon
YBM ECC Mungyeong,"3F, 49 Danggyo 3(sam)-gil, Mungyeong, Gyeongsangbuk-do, South Korea",,,https://www.theworknplay.com/Work/YBMECCMungyeong
Creverse CDI April Cheongju,"6F, 70 Daenong-ro, Heungdeok-gu, Cheongju, Chungcheongbuk-do, South Korea",,,https://www.theworknplay.com/Work/CreverseCDIAprilCheongju
Lighthouse International School,"34-55 Deogi-ro 292beon-gil, Ilsanseo-gu, Goyang-si, Gyeonggi-do, Republic of Korea",,,https://www.theworknplay.com/Work/LighthouseInternationalSchool1
,"21 Seongseong 6-ro, Seobuk-gu, Cheonan, Chungcheongnam-do, South Korea",,,https://www.theworknplay.com/Work/LomaLindaCollegiateCheonan
Embark Recruiting : TheWorknPlay,,,,https://www.theworknplay.com/Work/EmbarkRecruiting
YBM ECC Busan Gangseo,"5F, 234 Myeongjigukje 8-ro, Gangseo-gu, Busan, South Korea",,,https://www.theworknplay.com/Work/YBMECCBusanGangseo
Apex English,"2F, 200 Ilsan-ro, Ilsandong-gu, Goyang-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/ApexEnglish
Creverse April Bundang Jeongja,"7F, 385 Seongnam-daero, Bundang-gu, Seongnam-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/CreverseAprilBundangJeongja
Creverse CDI Nam Gwangju,"88 Bongseon-ro, Nam-gu, Gwangju, Republic of Korea",,,https://www.theworknplay.com/Work/CreverseCDINamGwangju
Gyeojassi Christian School,"201 Seongyo-ro, Dong-gu, Gwangju, South Korea",,,https://www.theworknplay.com/Work/GyeojassiChristianSchool
Poly Daejeon,"2F - 5F, 402 Daedeok-daero, Seo-gu, Daejeon, South Korea",,,https://www.theworknplay.com/Work/PolyDaejeon
Speaking Proficiency Enhancement Program,"Shinwon B/D, 861, Eonju-ro, Gangnam-gu, Seoul, Korea",,,https://www.theworknplay.com/Work/SpeakingProficiencyEnhancementProgram
Jungchul Junior Language Institute Oksan,"Park Avenue 4F 403, 403, 1071 Osonggarak-ro, Oksan-myeon, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do, South Korea",,,https://www.theworknplay.com/Work/JungchulJuniorLanguageInstituteOksan
